source_center,destination_center,route_type,median_delay_ratio,sla_breach_rate,trip_count,median_distance,median_actual_time,median_osrm_time
IND560099AAB,IND562132AAA,Carting,1.4444444444444444,0.7805755395683454,278,11.145199999999999,14.0,10.0
IND560300AAA,IND562132AAA,Carting,1.35,0.6327272727272727,275,13.641,26.0,17.0
IND421302AAG,IND444005AAB,FTL,2.064583333333333,0.9816176470588235,272,27.472550000000002,40.0,19.0
IND562132AAA,IND411033AAA,FTL,1.5263157894736843,0.8897058823529411,272,24.212,27.0,18.0
IND421302AAG,IND462022AAA,FTL,1.9428104575163399,0.9552238805970149,268,26.14715,35.0,18.0
IND411033AAA,IND501359AAE,FTL,1.5,0.7756653992395437,263,24.6012,27.0,17.0
IND562132AAA,IND421302AAG,FTL,1.4736842105263157,0.8062015503875969,258,25.42965,28.0,18.0
IND821115AAB,IND000000ACB,FTL,1.6875,0.8326848249027238,257,25.5537,33.0,18.0
IND421302AAG,IND382430AAB,FTL,1.7817460317460316,0.9724409448818898,254,25.650199999999998,35.0,18.0
IND411033AAA,IND431603AAA,FTL,1.8461538461538463,1.0,253,26.3959,37.0,19.0
IND382430AAB,IND395023AAA,FTL,1.632456140350877,0.884,250,26.5387,34.0,19.0
IND524003AAA,IND501359AAE,FTL,1.5294117647058822,0.919831223628692,237,28.4842,33.0,21.0
IND306401AAB,IND305001AAC,Carting,1.9090909090909092,0.8734177215189873,237,10.6923,14.0,7.0
IND530012AAA,IND501359AAE,FTL,1.8,0.9493670886075949,237,25.1812,33.0,17.0
IND000000ACA,IND160002AAC,FTL,1.875,0.9700854700854701,234,22.4602,30.0,15.0
IND403726AAA,IND411033AAA,FTL,1.5,0.7903930131004366,229,24.8786,30.0,19.0
IND000000ACB,IND110064AAA,Carting,1.3693181818181817,0.6592920353982301,226,10.67975,13.0,10.0
IND000000ACB,IND121002AAB,Carting,1.6961538461538461,0.8451327433628318,226,11.4733,20.0,11.0
IND560099AAB,IND683511AAA,FTL,1.3888888888888888,0.7309417040358744,223,28.0656,34.0,24.0
IND000000ACB,IND302014AAA,FTL,1.6,0.8888888888888888,216,25.090600000000002,32.0,19.5
IND562132AAA,IND712311AAA,FTL,1.7669683257918551,0.9722222222222222,216,25.81105,36.0,18.0
IND131028AAB,IND160002AAC,FTL,1.5751879699248121,0.9423076923076923,208,23.63,27.0,17.0
IND000000ACB,IND201301AAM,Carting,1.688259109311741,0.8076923076923077,208,11.9759,20.0,12.0
IND501359AAE,IND533106AAA,FTL,2.0,0.9754901960784313,204,25.4289,36.0,17.5
IND411033AAA,IND413002AAA,FTL,1.4666666666666666,0.8333333333333334,204,23.679850000000002,25.0,17.0
IND144001AAC,IND160002AAC,Carting,2.0,0.8571428571428571,203,9.646,13.0,6.0
IND000000ACB,IND110095AAB,Carting,1.375,0.5520833333333334,192,11.116,13.0,11.0
IND834002AAB,IND826004AAA,Carting,2.25,0.851063829787234,188,10.791,20.0,9.0
IND515004AAA,IND501359AAE,FTL,1.6220238095238095,0.9666666666666667,180,24.39985,28.0,17.0
IND421302AAG,IND400072AAB,Carting,2.2,0.9776536312849162,179,11.6545,18.0,8.0
IND000000ACB,IND209304AAA,FTL,1.826086956521739,0.8603351955307262,179,25.5503,34.0,18.0
IND751002AAB,IND530012AAA,FTL,1.5714285714285714,0.8977272727272727,176,23.992350000000002,27.0,17.0
IND600032AAB,IND600056AAB,Carting,1.7321428571428572,0.888235294117647,170,10.44625,14.0,8.5
IND474003AAA,IND000000ACB,FTL,1.32,0.6130952380952381,168,25.909100000000002,34.0,25.0
IND562132AAA,IND518002AAA,FTL,1.3114224137931034,0.6369047619047619,168,25.998350000000002,26.0,20.0
IND530012AAA,IND532001AAB,Carting,1.6666666666666667,0.9333333333333333,165,10.1526,12.0,7.0
IND201301AAM,IND000000ACB,Carting,1.6938775510204083,0.8282208588957055,163,13.2819,17.0,12.0
IND206001AAA,IND000000ACB,FTL,1.3550420168067228,0.6410256410256411,156,27.421599999999998,34.0,23.5
IND532001AAB,IND530012AAA,Carting,1.75,0.9870967741935484,155,9.778,12.0,7.0
IND562132AAA,IND560083AAB,Carting,1.4,0.6645161290322581,155,10.9723,14.0,10.0
IND302022AAD,IND000000ACB,Carting,1.625,0.7712418300653595,153,10.0748,12.0,7.0
IND431517AAB,IND411033AAA,FTL,2.2857142857142856,0.9271523178807947,151,26.3785,46.0,18.0
IND000000ACB,IND122001AAA,Carting,1.3333333333333333,0.62,150,10.6866,14.0,10.0
IND400072AAD,IND421302AAG,Carting,2.5454545454545454,0.9731543624161074,149,11.7849,20.0,9.0
IND712311AAA,IND421302AAG,FTL,1.7712418300653594,0.8851351351351351,148,27.13125,34.5,19.0
IND000000ACT,IND000000ACB,Carting,1.5,0.7891156462585034,147,9.7806,14.0,9.0
IND600056AAB,IND560099AAB,FTL,1.5714285714285714,0.8356164383561644,146,24.494600000000002,31.0,21.0
IND110064AAA,IND000000ACB,Carting,1.3452380952380953,0.6875,144,10.61675,15.0,10.0
IND000000ABD,IND562132AAA,FTL,1.4285714285714286,0.7638888888888888,144,29.4662,44.5,29.0
