feature,importance
segment_osrm_distance,0.3428397853211192
cutoff_factor,0.17128675294535933
segment_osrm_time,0.13556307382348587
osrm_distance,0.10704670917026593
osrm_time,0.06756262435534593
actual_time,0.035281439517155504
dst_betweenness,0.024976022033780472
is_cutoff_enc,0.020397060072675024
src_betweenness,0.019839216630045956
dst_risk_score,0.014765011586740602
src_risk_score,0.010997711129147795
src_breach_rate,0.009188006901099189
src_in_degree,0.009121916264082298
src_out_degree,0.007814567234792229
segment_factor,0.007686777934043718
segment_delay_ratio,0.007356988204448649
factor,0.005582228214925221
hour,0.0024316290463184138
day_of_week,0.000262479615168664
