source_id,destination_id,source,destination,delay_ratio,breach_rate,trip_count,route_type,median_distance
IND332001AAB,IND333031AAA,Sikar_FatehpRd_I (Rajasthan),Pilani (Rajasthan),1.7023809523809523,0.8,10,FTL,24.862250000000003
IND560058AAD,IND562132AAA,Bengaluru_Peenya_L (Karnataka),Bangalore_Nelmngla_H (Karnataka),1.7017543859649122,0.8653846153846154,52,Carting,12.206800000000001
IND000000ACB,IND000000AEL,Gurgaon_Bilaspur_HB (Haryana),Delhi_PunjabiB_L (Delhi),1.7,0.8316831683168316,101,Carting,11.2197
IND532127AAA,IND535591AAA,Rajam_SamathBv_D (Andhra Pradesh),Salur_ward9_D (Andhra Pradesh),1.7,0.975609756097561,41,FTL,22.2049
IND301001AAB,IND321001AAB,Alwar_Central_I_1 (Rajasthan),Bharatpur_NraynDPP_D (Rajasthan),1.7,1.0,31,FTL,23.7004
IND713205AAB,IND722101AAC,Durgapur_Central_I_1 (West Bengal),Bankura_BhowmDPP_D (West Bengal),1.7,0.9473684210526315,19,Carting,10.4981
IND362001AAA,IND362265AAA,Junagadh_DPC (Gujarat),Veraval_DC (Gujarat),1.7,0.75,8,Carting,9.3636
IND600032AAB,IND600044AAD,Chennai_Hub (Tamil Nadu),Chennai_Chrompet_DPC (Tamil Nadu),1.7,0.7692307692307693,13,Carting,10.0288
IND411033AAA,IND411036AAA,Pune_Tathawde_H (Maharashtra),Pune_Mundhawa_L (Maharashtra),1.7,0.8055555555555556,72,Carting,10.7046
IND781018AAB,IND784001AAA,Guwahati_Hub (Assam),Tezpur_Mhbhirab_D (Assam),1.698611111111111,0.9583333333333334,24,FTL,32.10855
IND577501AAA,IND577002AAA,Chitradurga_DC (Karnataka),Davangere_Central_I_1 (Karnataka),1.6985294117647058,1.0,30,FTL,22.95505
IND305901AAA,IND342602AAC,Beawar_DC (Rajasthan),Bilara_Central_DPP_2 (Rajasthan),1.6985294117647058,0.9166666666666666,12,FTL,24.8271
IND301001AAB,IND302014AAA,Alwar_Central_I_1 (Rajasthan),Jaipur_Hub (Rajasthan),1.6980392156862745,0.9166666666666666,12,FTL,28.469099999999997
IND302014AAB,IND302006AAA,Jaipur_Central_I_7 (Rajasthan),Jaipur (Rajasthan),1.6979166666666665,0.7083333333333334,24,Carting,10.36435
IND263153AAB,IND131028AAB,Rudrapur_UdhamNgr_H (Uttarakhand),Sonipat_Kundli_H (Haryana),1.6978260869565216,0.8909090909090909,110,FTL,27.212899999999998
IND757037AAA,IND758001AAA,Karanjia_Sarubali_D (Orissa),Kendujhar_Sirjudin_D (Orissa),1.6972727272727273,1.0,2,FTL,28.226399999999998
IND508223AAA,IND500039AAC,Thirumalagiri_Xroad_D (Telangana),Hyderabad_Uppal_I (Telangana),1.6972222222222222,0.8076923076923077,52,FTL,25.448549999999997
IND334803AAA,IND341001AAC,Nokha_DeVDPP_D (Rajasthan),Nagaur_KisanCo_D (Rajasthan),1.6966911764705883,1.0,8,FTL,23.2827
IND783348AAA,IND783129AAA,Bilasipara_Wardno5_D (Assam),Lakhipur_WrdN4DPP_D (Assam),1.6962962962962962,1.0,30,FTL,33.396100000000004
IND000000ACB,IND121002AAB,Gurgaon_Bilaspur_HB (Haryana),Faridabad_Mthurard_L (Haryana),1.6961538461538461,0.8451327433628318,226,Carting,11.4733
IND131028AAB,IND251001AAA,Sonipat_Kundli_H (Haryana),Muzaffrngr_MhmodNgr_D (Uttar Pradesh),1.6956521739130435,0.9512195121951219,41,FTL,24.4455
IND000000ACB,IND125033AAA,Gurgaon_Bilaspur_HB (Haryana),Hansi_DelRdDPP_D (Haryana),1.6944444444444444,0.6666666666666666,12,FTL,24.77195
IND201301AAM,IND000000ACB,Noida_Sector63_L (Uttar Pradesh),Gurgaon_Bilaspur_HB (Haryana),1.6938775510204083,0.8282208588957055,163,Carting,13.2819
IND110085AAB,IND000000ACB,Delhi_Rohini_DPC (Delhi),Gurgaon_Bilaspur_HB (Haryana),1.6923076923076923,0.813953488372093,43,Carting,11.3835
